40558.855,69676.79
40636.02,70625.1
40886.16,69507.43
40910,69603.2
40917.67,69802.17
40737.52,70459.73
40409.99,70210.07
40731.17,70273.56
40925.5,70005.69
40543.44,69903.92
40739.98,69945.3
40724.67,69862.01
40534.58,69839.24
40886.16,69507.43
40910,69603.2
40917.67,69802.17
40739.51,70567.31
40409.99,70210.07
40731.17,70273.56
40925.5,70005.69
40724.67,69862.01
41005.77,69611.23
40886.16,69507.43
40973.94,69492.38
40888.57,69381.98
40246.3,70380.62415
40297.30173,69691.1421
40359.6351,69617.81671
